Muestras;Original;           FFT;       Suavizada;       IFFT(FFT)
189;-0.0057708330000000;-0.0147921377055959 +(0.3773498006812379i);0.0035314806143552;-0.0057708330000000
190;-0.0053214290000000;-0.1351288574245559 +(0.0011614051858500i);0.0035579025282150;-0.0053214290000000
191;-0.0047666670000000;-0.0614696787515232 +(0.0520003530905385i);0.0035843306229546;-0.0047666670000000
192;-0.0042142860000000;0.0231417105216635 +(0.0318543556800649i);0.0036107625890418;-0.0042142860000000
193;-0.0037321430000000;0.0365474373778319 +(0.0273769978246539i);0.0036371961165449;-0.0037321430000000
194;-0.0033437500000000;0.0614698671335584 +(-0.0109317277999763i);0.0036636288953947;-0.0033437500000000
195;-0.0025909090000000;0.0108377722284779 +(0.0743597867780573i);0.0036900586156472;-0.0025909090000000
196;-0.0020333330000000;0.0223379562096248 +(-0.0480814675691189i);0.0037164829677446;-0.0020333330000000
197;-0.0014285710000000;-0.0391107480046396 +(0.0415242077149178i);0.0037428996427774;-0.0014285710000000
198;-0.0008392860000000;0.0619503413264243 +(-0.0471194300924200i);0.0037693063327446;-0.0008392860000000
199;-0.0002196430000000;-0.0397929660099681 +(0.0100322863212204i);0.0037957007308149;-0.0002196430000000
200;0.0003674510000000;0.0280090829428906 +(-0.0159808922180266i);0.0038220805315861;0.0003674510000000
201;0.0009515830000000;-0.0159021389859323 +(0.0376872278347496i);0.0038484434313448;0.0009515830000000
202;0.0015357140000000;0.0409640449657169 +(-0.0260980237966957i);0.0038747871283254;0.0015357140000000
203;0.0021166670000000;-0.0233408125260927 +(0.0136932159016509i);0.0039011093229685;0.0021166670000000
204;0.0027666670000000;-0.0415137872564966 +(-0.0374749980798390i);0.0039274077181783;0.0027666670000000
205;0.0034821430000000;0.0384994789419682 +(0.0264929960360653i);0.0039536800195803;0.0034821430000000
206;0.0040000000000000;0.0352066305093107 +(-0.0026571070054024i);0.0039799239357771;0.0040000000000000
207;0.0045454550000000;-0.0115061389262280 +(-0.0067758508828242i);0.0040061371786045;0.0045454550000000
